1484618912.06255, 2220.0, 2244.0
1484618912.56255, 2364.0, 2356.0
1484618913.07255, 2356.0, 2366.0
1484618913.58255, 2356.0, 2374.0
1484618914.08255, 2356.0, 2372.0
1484618914.59255, 2360.0, 2370.0
1484618915.1255, 2360.0, 2372.0
1484618915.61255, 2362.0, 2372.0
1484618916.11255, 2356.0, 2372.0
1484618916.62255, 2364.0, 2378.0
1484618917.13255, 2364.0, 2374.0
1484618917.64255, 2366.0, 2380.0
1484619330.66255, 2220.0, 2260.0
1484619331.16255, 2364.0, 2340.0
1484619331.67255, 2340.0, 2338.0
1484619332.17255, 2360.0, 2342.0
1484619332.68255, 2352.0, 2342.0
1484619333.19255, 2340.0, 2338.0
1484619333.69255, 2358.0, 2346.0
1484619334.2255, 2352.0, 2348.0
1484619334.71255, 2364.0, 2352.0
1484619468.32255, 2220.0, 2244.0
1484619468.82255, 2366.0, 2358.0
1484619469.33255, 2362.0, 2358.0
1484619469.83255, 2358.0, 2364.0
1484619470.34255, 2360.0, 2382.0
1484619470.84255, 2362.0, 2370.0
1484619781.9255, 2092.0, 2140.0
1484619782.16255, 2368.0, 2344.0
1484619782.41255, 2336.0, 2340.0
1484619782.67255, 2344.0, 2348.0
1484619782.92255, 2344.0, 2352.0
1484619783.18255, 2340.0, 2384.0
1484619783.44255, 2344.0, 2356.0
1484619783.69255, 2340.0, 2380.0
1484619783.95255, 2348.0, 2352.0
1484619784.21255, 2352.0, 2352.0
1484619784.46255, 2352.0, 2352.0
1484619784.71255, 2352.0, 2352.0
1484619784.97255, 2344.0, 2360.0
1484619828.94255, 2295, 2333
1484619829.94255, 2368, 2359
1484619830.95255, 2356, 2358
1484619831.95255, 2359, 2363
1484619861.55255, 2295, 2336
1484619862.55255, 2373, 2356
1484619863.56255, 2353, 2358
1484619864.57255, 2354, 2396
1484619865.58255, 2357, 2360
1484619866.58255, 2359, 2359
1484619867.59255, 2360, 2360
1484619868.6255, 2360, 2361
1484619869.6255, 2359, 2362
1484619870.61255, 2361, 2366
1484619871.62255, 2361, 2403
1484619872.62255, 2362, 2367
1484619873.63255, 2360, 2404
1484619874.64255, 2364, 2368
